Ticker,P/E,PEG,D/E,P/S,Cash_Flow_Yield,Profit_Growth,EPS_Surprise
AAPL,30.75684,,146.994,7.5498595,0.03217364192916778,0.048,
MSFT,38.36823,,32.661,13.828423,0.015606653260699002,0.236,
GOOGL,20.163113,,11.481,6.1725597,0.02171728573810306,0.194,
AMZN,32.736282,,51.641,3.505807,0.017226187636548193,0.642,
TSLA,182.30724,,16.823,10.527588,0.0013724006928990254,-0.163,
NVDA,56.220066,,12.267,28.526506,0.013086630219226058,0.262,
META,27.24337,,25.406,10.537405,0.017054288974113815,0.362,
JPM,14.847101,,,4.914206,,-0.174,
V,33.172047,,65.017,16.935131,0.027298308367969034,0.082,
DIS,23.793877,,39.432,2.228835,0.04478537706867877,,
